cycle,nb preys (ref),nb predators (ref),nb preys (target),nb predators (target),parameter α,parameter α action,helped obj,expected variation,obj preys nb criticality,obj predators nb criticality
0,250.0,45.0,240.0,45.0,0.05,0.01,null,NaN,10.0,0.0
1,251.1388776538477,45.91446047327893,241.1043265773709,45.822541194522564,0.05,0.01,null,NaN,10.0,0.0
2,252.04876931903559,46.85711071280046,242.01160899933552,46.66951102970038,0.05,0.01,null,NaN,10.0,0.0
3,252.72018417791762,47.82668357960655,242.71379124530333,47.53979284708454,0.05,0.01,null,NaN,10.0,0.0
4,253.14457166690897,48.82167509845898,243.20355621346351,48.43208155511564,0.05,0.01,null,NaN,10.0,0.0
5,253.31446031838934,49.8403340549505,243.4744319478314,49.34487607583461,0.05,0.01,null,NaN,10.0,0.0
6,253.2235926087832,50.88065403891832,243.52089513223854,50.276473588998975,0.05,0.0,null,NaN,9.702697476544671,0.6041804499193475
7,252.86705272279502,51.940368416309745,243.33846971383062,51.22496590429562,0.05,0.0,null,NaN,9.702697476544671,0.6041804499193475
8,252.2413839844037,53.01694869745737,242.92381840816296,52.18823828265959,0.05,0.0,null,NaN,9.702697476544671,0.6041804499193475
9,251.34469264105093,54.10760673607009,242.27482478664342,53.16397100585247,0.05,0.0,null,NaN,9.702697476544671,0.6041804499193475
10,250.17673473510138,55.20930113845625,241.39066366507598,54.14964395840728,0.05,0.0,null,NaN,9.702697476544671,0.6041804499193475
11,248.7389829690093,56.318748185832426,240.271857607582,55.14254443731224,0.05,0.0,null,NaN,9.702697476544671,0.6041804499193475
12,247.03467077538798,57.43243747442512,238.9203175385665,56.139778342532715,0.05,0.0,null,NaN,8.114353236821472,1.2926591318924068
13,245.0688112415075,58.546652360185355,237.33936571838055,57.13828482654573,0.05,0.0,null,NaN,8.114353236821472,1.2926591318924068
14,242.84818910320502,59.65749516043943,235.53373968339756,58.1348543951823,0.05,0.0,null,NaN,8.114353236821472,1.2926591318924068
15,240.3813247012035,60.760916918258395,233.5095761712703,59.126150357741615,0.05,0.0,null,NaN,8.114353236821472,1.2926591318924068
16,237.67840956070302,61.85275138256969,231.27437453531076,60.10873342482748,0.05,0.0,null,NaN,8.114353236821472,1.2926591318924068
17,234.751214082784,62.928752704914274,228.8369396819746,61.079089151568624,0.05,0.0,null,NaN,8.114353236821472,1.2926591318924068
18,231.6129686875899,63.984636209767096,226.20730512220422,62.033657826190776,0.05,0.0,null,NaN,5.40566356538568,1.9509783835763201
19,228.27822058459085,65.0161214671443,223.3966372879336,62.96886631389034,0.05,0.0,null,NaN,5.40566356538568,1.9509783835763201
20,224.76266912319122,66.01897679111627,220.4171228048334,63.88116128814935,0.05,0.0,null,NaN,5.40566356538568,1.9509783835763201
21,221.08298335798705,66.98906421217876,217.28184090680543,64.76704322017972,0.05,0.0,null,NaN,5.40566356538568,1.9509783835763201
22,217.25660601186704,67.92238393013791,214.00462360373533,65.62310045559147,0.05,0.0,null,NaN,5.40566356538568,1.9509783835763201
23,213.30154840887488,68.81511725029422,210.59990655161852,66.44604268821651,0.05,0.0,null,NaN,5.40566356538568,1.9509783835763201
24,209.23618115845687,69.66366704018395,207.08257380785264,67.23273314572579,0.05,0.0,null,NaN,2.153607350604233,2.430933894458164
25,205.07902539521513,70.46469481562343,203.467799774264,67.98021883043685,0.05,0.0,null,NaN,2.153607350604233,2.430933894458164
26,200.84854921641062,71.21515366979708,199.7708916324596,68.68575821041541,0.05,0.0,null,NaN,2.153607350604233,2.430933894458164
27,196.56297362678208,71.91231639221401,196.00713546289538,69.34684582829706,0.05,0.0,null,NaN,2.153607350604233,2.430933894458164
